"Date","Price","Open","High","Low","Vol.","Change %"
"06/03/2025","19,398.96","19,288.66","19,459.28","19,224.97","1.32B","0.81%"
"06/02/2025","19,242.61","19,063.06","19,252.71","18,985.30","1.27B","0.67%"
"05/30/2025","19,113.77","19,131.22","19,157.78","18,847.74","2.09B","-0.32%"
"05/29/2025","19,175.87","19,389.39","19,389.39","19,091.54","1.33B","0.39%"
"05/28/2025","19,100.94","19,232.62","19,276.83","19,084.38","1.24B","-0.51%"
"05/27/2025","19,199.16","19,014.44","19,210.95","18,961.69","1.39B","2.47%"
"05/23/2025","18,737.21","18,622.38","18,841.52","18,599.69","1.21B","-1.00%"
"05/22/2025","18,925.73","18,888.05","19,061.11","18,840.34","1.31B","0.28%"
"05/21/2025","18,872.64","19,002.94","19,241.41","18,799.20","1.49B","-1.41%"
"05/20/2025","19,142.71","19,132.06","19,186.69","19,015.63","1.29B","-0.38%"
"05/19/2025","19,215.46","18,937.42","19,227.22","18,937.42","1.56B","0.02%"
"05/16/2025","19,211.10","19,151.54","19,213.42","19,038.48","1.61B","0.52%"
"05/15/2025","19,112.32","19,031.24","19,207.22","18,967.78","1.47B","-0.18%"
"05/14/2025","19,146.81","19,074.72","19,174.55","19,023.61","1.62B","0.72%"
"05/13/2025","19,010.09","18,761.23","19,065.96","18,745.50","1.56B","1.61%"
"05/12/2025","18,708.34","18,674.55","18,710.22","18,472.71","1.76B","4.35%"
"05/09/2025","17,928.92","18,022.55","18,068.90","17,853.84","1.37B","0.00%"
"05/08/2025","17,928.14","17,920.15","18,096.00","17,776.00","1.46B","1.07%"
"05/07/2025","17,738.16","17,706.83","17,820.29","17,503.01","1.43B","0.27%"
"05/06/2025","17,689.66","17,623.21","17,830.35","17,592.88","1.23B","-0.87%"
"05/05/2025","17,844.24","17,817.01","17,965.64","17,792.08","1.14B","-0.74%"